weeks,horizon,n,win_rate,median,mean,p25,p75
1,1w,438,0.4908675799086758,-0.001967186623156869,-0.00013513715871067857,-0.0471604596488612,0.04424647472366777
2,2w,438,0.4748858447488584,-0.0037894906918707894,-0.000630909398570519,-0.06316257048085114,0.055555232426050316
4,4w (~1mo),438,0.4885844748858447,-0.002010552106398944,0.009261424938927093,-0.07715311763561636,0.08774887171659179
26,26w (~6mo),433,0.6027713625866051,0.08901757347908168,0.1629141669934661,-0.13995450357797745,0.3458323972141093
52,52w (~1yr),430,0.6651162790697674,0.16923542240773914,0.4183351747728861,-0.12631226481838184,0.565681475227243
