trading_days,horizon,n,win_rate,median,mean,p25,p75
1,1d (next day),1549,0.3938024531956101,-0.012806851744392778,-0.008481100621314994,-0.046551547805464,0.02592815658659897
5,5d (~1 week),1548,0.43733850129198965,-0.014373356594813314,-0.01056225323463932,-0.09617518123175861,0.05543183235723692
10,10d (~2 weeks),1545,0.4459546925566343,-0.016836743042347946,-0.006145640036898987,-0.12049487642453494,0.07700334556694899
21,21d (~1 month),1541,0.48864373783257625,-0.005738875617947059,0.009227055250252733,-0.14186018525039656,0.11402299480349143
126,126d (~6 months),1517,0.5253790375741595,0.020247395337466,0.142802716272347,-0.22003700196467624,0.3406338747914748
252,252d (~1 year),1500,0.6046666666666667,0.13389653740036023,0.3430571456491058,-0.20665947307983307,0.557367479208903
