cap_tier,events,1w_win,1w_med,1w_n,2w_win,2w_med,2w_n,4w_win,4w_med,4w_n,26w_win,26w_med,26w_n,52w_win,52w_med,52w_n
Large (10-200B),150,0.46,-0.004777341458572448,150,0.43333333333333335,-0.009987521505573693,150,0.4266666666666667,-0.0220446286774183,150,0.5906040268456376,0.10201527924130671,149,0.610738255033557,0.11543685435558149,149
Mega (>200B),289,0.5069444444444444,0.0014814882010019126,288,0.4965277777777778,-0.0012657093297126498,288,0.5208333333333334,0.007261682131288305,288,0.6091549295774648,0.0697426504248635,284,0.693950177935943,0.2401794749563022,281
